"","citizenship_country","count"
"1","Ecuador",1041
"2","Mexico",876
"3","Guatemala",289
"4","Honduras",233
"5","Venezuela",221
"6","Nicaragua",181
"7","El Salvador",177
"8","Laos",108
"9","Somalia",99
"10","Colombia",85
"11","Ethiopia",37
"12","Cuba",29
"13","Vietnam",28
"14","China, Peoples Republic of",19
"15","India",19
"16","Liberia",16
"17","Kenya",15
"18","Dominican Republic",14
"19","Russia",14
"20","Guinea",13
"21","Burma",12
"22","Cameroon",12
"23","Thailand",12
"24","Afghanistan",11
"25","Nigeria",11
"26","Peru",11
"27","Spain",11
"28","Uzbekistan",11
"29","Ukraine",10
"30","Haiti",9
"31","Sudan",8
"32","Bolivia",7
"33","Brazil",7
"34","Jordan",7
"35","Georgia",6
"36","Moldova",6
"37","Nepal",6
"38","Pakistan",6
"39","Cambodia",5
"40","Chile",5
"41","Ghana",5
"42","Turkiye",5
"43","Belarus",4
"44","Djibouti",4
"45","Gambia",4
"46","Kazakhstan",4
"47","Romania",4
"48","Tajikistan",4
"49","Dem Rep of the Congo",3
"50","Egypt",3
"51","Eritrea",3
"52","Indonesia",3
"53","Togo",3
"54","Unknown",3
"55","Armenia",2
"56","Azerbaijan",2
"57","Congo",2
"58","Costa Rica",2
"59","Guyana",2
"60","Italy",2
"61","Jamaica",2
"62","Mauritania",2
"63","Poland",2
"64","Serbia",2
"65","Sierra Leone",2
"66","South Africa",2
"67","Turkmenistan",2
"68","Algeria",1
"69","Bangladesh",1
"70","Estonia",1
"71","Ivory Coast",1
"72","Kyrgyzstan",1
"73","Lebanon",1
"74","Mongolia",1
"75","Morocco",1
"76","Portugal",1
"77","Saudi Arabia",1
"78","Senegal",1
"79","St. Lucia",1
"80","Syria",1
"81","Taiwan",1
"82","Tanzania",1
"83","Uganda",1
"84","United Kingdom",1
"85","Yemen",1
"86","Zambia",1
"87","Zimbabwe",1
