"","detention_facility","Booked into Detention","Detainer Declined by LEA","No longer in State, Local, or Federal Custody","NA","total","other"
"1","HENNEPIN COUNTY ADC",13,119,9,37,186,8
"2","MINN.C.F.,ST.CLOUD",1,22,1,41,67,2
"3","MINN. C.F., FARIBAULT",1,2,4,40,49,2
"4","RAMSEY COUNTY JAIL",3,26,6,NA,49,14
"5","ANOKA COUNTY JAIL",5,27,4,8,47,3
"6","DAKOTA CO. JAIL, MN",14,8,2,7,41,10
"7","WASECA FED.CORR.INST.",3,15,NA,19,41,4
"8","US MARSHALS, MINNESOTA",19,2,NA,12,33,0
"9","NOBLES CO. JAIL",5,9,8,7,32,3
"10","MINN.C.F., RUSH CITY",NA,1,NA,24,25,0
"11","RAMSEY ADC ANNEX, SPM",7,5,NA,5,21,4
"12","OLMSTED CO. JAIL",14,1,2,3,20,0
"13","ROCHESTER FED.MED.CENTER",NA,4,NA,16,20,0
"14","SANDSTONE FED.CORR.INST.",1,2,NA,15,18,0
"15","MINN.C.F., MOOSE LAKE",NA,2,NA,15,17,0
"16","WASHINGTON COUNTY JAIL",2,8,2,2,16,2
"17","STEARNS COUNTY SHERIFF/JAIL",5,2,1,3,12,1
"18","BLOOMINGTON POLICE DEPT.",5,NA,3,NA,10,2
"19","SHERBURNE COUNTY JAIL",5,NA,NA,5,10,0
"20","LYON COUNTY JAIL",2,2,3,2,9,0
"21","MINN.C.F, OAK PARK HGTS",NA,NA,NA,9,9,0
"22","MEEKER COUNTY JAIL",2,5,NA,NA,7,0
"23","MINN.C.F., LINO LAKES",1,NA,NA,6,7,0
"24","MINN.C.F., STILLWATER",NA,NA,NA,7,7,0
"25","WINONA COUNTY JAIL",5,NA,NA,1,7,1
"26","WRIGHT CO. JAIL",2,1,1,3,7,0
"27","MOWER CO. JAIL, MN",1,4,NA,1,6,0
"28","SCOTT COUNTY JAIL",NA,1,1,1,6,3
"29","STERNS CO. JAIL",1,2,1,1,6,1
"30","TODD COUNTY JAIL",2,NA,2,NA,6,2
"31","BECKER COUNTY JAIL",2,NA,NA,2,5,1
"32","BLUE EARTH CO. JAIL, MN",1,3,NA,NA,5,1
"33","KANDIYOHI CO. JAIL",2,1,NA,2,5,0
"34","OTTER TAIL COUNTY JAIL",2,1,NA,2,5,0
"35","CARVER COUNTY JAIL",1,2,NA,1,4,0
"36","CHIPPEWA COUNTY JAIL",NA,1,NA,3,4,0
"37","MINN.C.F., SHAKOPEE",NA,NA,NA,4,4,0
"38","BROOKLYN PARK POLICE DEPT.",1,NA,2,NA,3,0
"39","FREEBORN COUNTY JAIL, MN",1,NA,NA,2,3,0
"40","ITASCA COUNTY JAIL",3,NA,NA,NA,3,0
"41","NICOLLET COUNTY JAIL",2,NA,1,NA,3,0
"42","PINE COUNTY DETENTION CTR",2,NA,1,NA,3,0
"43","RICE COUNTY JAIL",NA,3,NA,NA,3,0
"44","CROW WING COUNTY JAIL",2,NA,NA,NA,2,0
"45","DOUGLAS CO. MN",NA,2,NA,NA,2,0
"46","FARIBAULT COUNTY JAIL",1,1,NA,NA,2,0
"47","JACKSON COUNTY L.E.C.",1,NA,NA,NA,2,1
"48","MARTIN COUNTY JAIL",1,NA,NA,1,2,0
"49","RAMSEY CO. WORKHOUSE, MN",NA,NA,NA,1,2,1
"50","ST. LOUIS CO. JAIL",NA,NA,NA,1,2,1
"51","WASECA COUNTY JAIL, MN",1,NA,NA,1,2,0
"52","WATONWAN COUNTY JAIL",1,1,NA,NA,2,0
"53","CARLTON COUNTY JAIL, MN",NA,1,NA,NA,1,0
"54","CLAY CO. MINNESOTA",1,NA,NA,NA,1,0
"55","COTTONWOOD COUNTY JAIL",NA,1,NA,NA,1,0
"56","CRYSTAL POLICE DEPT",NA,NA,1,NA,1,0
"57","GOODHUE COUNTY JAIL",NA,NA,NA,NA,1,1
"58","HENNEPIN COUNTY MED CTR",NA,1,NA,NA,1,0
"59","ISANTI COUNTY JAIL",1,NA,NA,NA,1,0
"60","KANABEC COUNTY JAIL",1,NA,NA,NA,1,0
"61","LAC QUI PARLE COUNTY JAIL",1,NA,NA,NA,1,0
"62","MCLEOD COUNTY JAIL, MN",1,NA,NA,NA,1,0
"63","NEW HOPE POLICE DEPARTMENT",NA,1,NA,NA,1,0
"64","NW REGIONAL CORRECTIONS CENTER",NA,NA,1,NA,1,0
"65","PIPESTONE COUNTY JAIL",NA,NA,1,NA,1,0
"66","POLK COUNTY JAIL",NA,NA,1,NA,1,0
"67","PRAIRIE CORRECT. FACILITY",1,NA,NA,NA,1,0
"68","PRAIRIE LAKES YOUTH D.F.",NA,NA,NA,NA,1,1
"69","REDWOOD COUNTY JAIL",NA,1,NA,NA,1,0
"70","RENVILLE COUNTY JAIL",1,NA,NA,NA,1,0
"71","SIBLEY COUNTY JAIL, MN",NA,NA,NA,NA,1,1
"72","STEELE CO. JAIL, MN",NA,1,NA,NA,1,0
"73","SWIFT COUNTY JAIL",NA,1,NA,NA,1,0
"74","WABASHA COUNTY JAIL",1,NA,NA,NA,1,0
"75","YELLOW MEDICINE COUNTY JAIL",1,NA,NA,NA,1,0
